gene,sector,Product,function,functional class,general class,location,envelope_function,COG_functionname,COG_function,COG-id,cAMP
glcG,s-sector,putative heme-binding protein GlcG,,,,CP,,Function unknown,S,COG3193,no
gldA,s-sector,"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase",,,,CP,,Energy production and conversion,C,COG0371,no
glf,a-sector,GALPMUT-MONOMER,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG0562,no
glgA,s-sector,glycogen synthase,,,,CP,,Carbohydrate transport and metabolism,G,COG0297,no
glgB,s-sector,GLYCOGEN-BRANCH-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG0296,no
glgC,s-sector,glucose-1-phosphate adenylyltransferase,,,,CP,,Carbohydrate transport and metabolism,G,COG0448,yes
glgP,s-sector,glycogen phosphorylase,,,,CP,,Carbohydrate transport and metabolism,G,COG0058,no
glgS,s-sector,surface composition regulator,,,,CP,,notdefined,notdefined,,yes
glgX,s-sector,EG10381-MONOMER,,,,CP,,Carbohydrate transport and metabolism,G,COG1523,no
glk,a-sector,glucokinase,,,,CP,,Carbohydrate transport and metabolism,G,COG0837,yes
glmM,ra-sector,phosphoglucosamine mutase,,,,CP,,Carbohydrate transport and metabolism,G,COG1109,no
glmS,u-sector,L-glutamine&mdash;D-fructose-6-phosphate aminotransferase,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG0449,no
glmU,u-sector,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG1207,no
glnA,u-sector,"adenylyl-[glutamine synthetase] // ""glutamine synthetase""",,,,CP,,Amino acid transport and metabolism,E,COG0174,yes
glnB,a-sector,"uridylyl-[protein PII] // ""nitrogen regulatory protein PII-1""",,,,CP,,notdefined,TE,COG0347,no
glnD,a-sector,PII uridylyltransferase / uridylyl removing enzyme,,,,CP,,notdefined,OT,COG2844,no
glnE,ra-sector,fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1391,no
glnG,a-sector,"NtrC-phosphorylated monomer // ""DNA-binding transcriptional dual regulator NtrC""",,,,CP,,Signal transduction mechanisms,T,COG2204,no
glnH,c-sector,L-glutamine ABC transporter periplasmic binding protein,,,,PE,transporter,notdefined,ET,COG0834,no
glnK,a-sector,"uridylyl-[GlnK] // ""nitrogen regulator GlnK""",,,,CP,,notdefined,TE,COG0347,no
glnL,u-sector,sensory histidine kinase NtrB,,,,CP,,Signal transduction mechanisms,T,COG3852,no
glnP,c-sector,L-glutamine ABC transporter membrane subunit,,,,IM,transporter,Amino acid transport and metabolism,E,COG0765,no
glnQ,c-sector,L-glutamine ABC transporter ATP binding subunit,,,,CP,,Amino acid transport and metabolism,E,COG1126,no
glnS,r-sector,glutamine&mdash;tRNA ligase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0008,no
gloA,u-sector,glyoxalase I,,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG0346,no
gloB,s-sector,hydroxyacylglutathione hydrolase GloB,,,,CP,,General function prediction only,R,COG0491,no
gloC,rca-sector,hydroxyacylglutathione hydrolase GloC,,,,CP,,General function prediction only,R,COG0491,no
glpA,s-sector,anaerobic glycerol-3-phosphate dehydrogenase subunit A,,,,CP,,Energy production and conversion,C,COG0578,yes
glpB,rca-sector,anaerobic glycerol-3-phosphate dehydrogenase subunit B,,,,CP,,Amino acid transport and metabolism,E,COG3075,yes
glpC,rca-sector,anaerobic glycerol-3-phosphate dehydrogenase subunit C,,,,CP,,Energy production and conversion,C,COG0247,yes
glpD,s-sector,aerobic glycerol 3-phosphate dehydrogenase,,,,CP,,Energy production and conversion,C,COG0578,yes
glpE,rca-sector,thiosulfate sulfurtransferase GlpE,,,,CP,,Inorganic ion transport and metabolism,P,COG0607,yes
glpF,s-sector,glycerol facilitator,,,,IM,other,Carbohydrate transport and metabolism,G,COG0580,yes
glpG,ra-sector,rhomboid protease GlpG,,,,IM,other,"Posttranslational modification, protein turnover, chaperones",O,COG0705,no
glpK,s-sector,glycerol kinase,,,,CP,,Energy production and conversion,C,COG0554,no
glpQ,s-sector,glycerophosphoryl diester phosphodiesterase GlpQ,,,,PE,other,Lipid transport and metabolism,I,COG0584,yes
glpR,a-sector,DNA-binding transcriptional repressor GlpR,,,,CP,,notdefined,notdefined,,no
glpT,s-sector,GLPT-MONOMER,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2271,yes
glpX,s-sector,"fructose-1,6-bisphosphatase 2",,,,CP,,Carbohydrate transport and metabolism,G,COG1494,no
glrK,rca-sector,"sensory histidine kinase GlrK - phosphorylated // ""sensory histidine kinase GlrK""",,,,IM,other,Signal transduction mechanisms,T,COG2205,no
glrR,ra-sector,"P<sup>asp56</sup> DNA-binding transcriptional activator GlrR // ""DNA-binding transcriptional activator GlrR""",,,,CP,,Signal transduction mechanisms,T,COG2204,no
gltA,s-sector,citrate synthase,,,,CP,,Energy production and conversion,C,COG0372,yes
gltB,u-sector,glutamate synthase subunit GltB,,,,CP,,Amino acid transport and metabolism,E,COG0067,yes
gltD,u-sector,glutamate synthase subunit GltD,,,,CP,,notdefined,ER,COG0493,no
gltF,u-sector,periplasmic protein GltF,,,,PE,other,notdefined,notdefined,,no
gltI,s-sector,glutamate/aspartate ABC transporter periplasmic binding protein,glutamate aspartate transporter,aminio acid uptake,transport,PE,transporter,notdefined,ET,COG0834,yes
gltJ,s-sector,glutamate/aspartate ABC transporter membrane subunit GltJ,glutamate aspartate transporter,aminio acid uptake,transport,IM,transporter,Amino acid transport and metabolism,E,COG0765,no
gltK,s-sector,glutamate/aspartate ABC transporter membrane subunit GltK,glutamate aspartate transporter,aminio acid uptake,transport,IM,transporter,Amino acid transport and metabolism,E,COG0765,no
gltL,s-sector,glutamate/aspartate ABC transporter ATP binding subunit,glutamate aspartate transporter,aminio acid uptake,transport,CP,,Amino acid transport and metabolism,E,COG1126,no
gltP,r-sector,glutamate/aspartate : H<sup>+</sup> symporter GltP,,,,IM,other,Energy production and conversion,C,COG1301,no
gltS,rca-sector,glutamate:sodium symporter,,,,IM,transporter,Amino acid transport and metabolism,E,COG0786,no
gltX,a-sector,glutamate&mdash;tRNA ligase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0008,no
gluQ,rca-sector,glutamyl-Q tRNA<sup>Asp</sup> synthetase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0008,no
glvB,rca-sector,putative PTS enzyme II component GlvB,,,,CP,,notdefined,notdefined,,no
glvC,rca-sector,putative PTS enzyme II component GlvC,,,,IM,transporter,notdefined,notdefined,,no
glvG,rca-sector,putative inactive phospho-glucosidase,,,,CP,,notdefined,notdefined,,no
glxK,rca-sector,glycerate 2-kinase 2,,,,CP,,Carbohydrate transport and metabolism,G,COG1929,no
glxR,s-sector,tartronate semialdehyde reductase 2,,,,CP,,Lipid transport and metabolism,I,COG2084,no
glyA,u-sector,serine hydroxymethyltransferase,,,,CP,,Amino acid transport and metabolism,E,COG0112,no
glyQ,u-sector,glycine&mdash;tRNA ligase subunit &alpha;,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0752,no
glyS,u-sector,glycine&mdash;tRNA ligase subunit &beta;,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0751,no
gmd,rca-sector,"GDP-mannose 4,6-dehydratase",,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG1089,no
gmhB,a-sector,"D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose-1,7-bisphosphate 7-phosphatase",,,,CP,,Amino acid transport and metabolism,E,COG0241,no
gmk,ra-sector,guanylate kinase,,,,CP,,Nucleotide transport and metabolism,F,COG0194,no
gmm,rca-sector,GDP-mannose mannosyl hydrolase,,,,CP,,Nucleotide transport and metabolism,F,COG1051,no
gnd,a-sector,"6-phosphogluconate dehydrogenase, decarboxylating",,,,CP,,Carbohydrate transport and metabolism,G,COG0362,no
gnsA,r-sector,putative phosphatidylethanolamine synthesis regulator GnsA,,,,CP,,notdefined,notdefined,,no
gnsB,c-sector,Qin prophage; protein GnsB,,,,CP,,notdefined,notdefined,,no
gntK,u-sector,"D-gluconate kinase, thermostable",,,,CP,,Carbohydrate transport and metabolism,G,COG3265,yes
gntP,rca-sector,fructuronate transporter,,,,IM,transporter,notdefined,GR,COG2610,yes
gntR,a-sector,DNA-binding transcriptional repressor GntR,,,,CP,,Transcription,K,COG1609,no
gntT,c-sector,high-affinity gluconate transporter,,,,IM,transporter,notdefined,GR,COG2610,no
gntU,r-sector,low-affinity gluconate transporter,,,,IM,transporter,notdefined,GR,COG2610,no
gntX,rca-sector,,,,,CP,,General function prediction only,R,COG1040,yes
gor,a-sector,glutathione reductase (NADPH),,,,CP,,Energy production and conversion,C,COG1249,no
gph,a-sector,GPH-MONOMER,,,,CP,,Energy production and conversion,C,COG0546,no
gpmA,a-sector,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",,,,CP,,Carbohydrate transport and metabolism,G,COG0588,no
gpmM,a-sector,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",,,,CP,,Carbohydrate transport and metabolism,G,COG0696,no
gpp,rca-sector,"guanosine-5'-triphosphate,3'-diphosphate phosphatase",,,,CP,,notdefined,FTP,COG0248,no
gpsA,s-sector,glycerol-3-phosphate dehydrogenase,,,,CP,,Energy production and conversion,C,COG0240,no
gpt,ra-sector,xanthine-guanine phsophoribosyltransferase,,,,CP,,Coenzyme transport and metabolism,H,COG2236,no
grcA,a-sector,stress-induced alternate pyruvate formate-lyase subunit,,,,CP,,Coenzyme transport and metabolism,H,COG3445,yes
greA,s-sector,transcription elongation factor GreA,,,,CP,,Transcription,K,COG0782,no
greB,s-sector,transcription elongation factor GreB,,,,CP,,Transcription,K,COG0782,no
groL,u-sector,chaperonin GroEL,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0459,no
groS,a-sector,cochaperonin GroES,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0234,no
grpE,u-sector,nucleotide exchange factor GrpE,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0576,yes
grxA,a-sector,"oxidized glutaredoxin 1 // ""reduced glutaredoxin 1""",,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0695,no
grxB,s-sector,"oxidized glutaredoxin 2 // ""reduced glutaredoxin 2""",,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG2999,no
grxC,s-sector,"oxidized glutaredoxin 3 // ""glutaredoxin 3""",,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0695,no
grxD,a-sector,glutaredoxin 4,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0278,no
gshA,a-sector,glutamate&mdash;cysteine ligase,,,,CP,,Coenzyme transport and metabolism,H,COG2918,no
gshB,ra-sector,glutathione synthetase,,,,CP,,notdefined,HJ,COG0189,no
gsiA,s-sector,glutathione ABC transporter ATP binding subunit GsiA,,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG4172,no
gsiB,s-sector,glutathione ABC transporter periplasmic binding protein,,,,PE,transporter,Amino acid transport and metabolism,E,COG0747,no
gsiC,s-sector,glutathione ABC transporter membrane subunit GsiC,,,,IM,transporter,notdefined,EP,COG0601,no
gsiD,rca-sector,glutathione ABC transporter membrane subunit GsiD,,,,IM,transporter,notdefined,EP,COG1173,no
gsk,r-sector,inosine/guanosine kinase,,,,CP,,Carbohydrate transport and metabolism,G,COG0524,no
gspA,rca-sector,Type II secretion system protein GspA,,,,IM,other,"Intracellular trafficking, secretion, and vesicular transport",U,COG3267,no
gspB,rca-sector,putative general secretion pathway protein B,,,,CP,,notdefined,notdefined,,no
gspC,ra-sector,Type II secretion system protein GspC,,,,IM,other,"Intracellular trafficking, secretion, and vesicular transport",U,COG3031,no
gspD,ra-sector,Type II secretion system protein GspD,,,,OM,other,"Intracellular trafficking, secretion, and vesicular transport",U,COG1450,no
gspE,a-sector,Type II secretion system protein GspE,,,,CP,,notdefined,NUW,COG2804,no
gspF,a-sector,Type II secretion system protein GspF,,,,IM,other,notdefined,NUW,COG1459,no
gspG,a-sector,Type II secretion system protein GspG,,,,IM,other,notdefined,NUW,COG2165,no
gspH,a-sector,Type II secretion system protein GspH,,,,IM,other,notdefined,NUW,COG2165,no
gspI,ra-sector,Type II secretion system protein GspI,,,,IM,other,notdefined,NUW,COG2165,no
gspJ,rca-sector,Type II secretion system protein GspJ,,,,IM,other,"Intracellular trafficking, secretion, and vesicular transport",U,COG4795,no
gspK,rca-sector,Type II secretion system protein GspK,,,,IM,other,"Intracellular trafficking, secretion, and vesicular transport",U,COG3156,no
gspL,rca-sector,Type II secretion system protein GspL,,,,IM,other,"Intracellular trafficking, secretion, and vesicular transport",U,COG3297,no
gspM,rca-sector,Type II secretion system protein GspM,,,,IM,other,notdefined,notdefined,,no
gspO,ra-sector,Type II secretion system prepilin peptidase,,,,IM,other,notdefined,NU,COG1989,no
gss,a-sector,fused glutathionylspermidine amidase / glutathionylspermidine synthetase,,,,CP,,Amino acid transport and metabolism,E,COG0754,no
gstA,s-sector,glutathione <i>S</i>-transferase GstA,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0625,no
gstB,s-sector,glutathione <i>S</i>-transferase GstB,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0625,no
guaA,u-sector,GMP synthetase,,,,CP,,Nucleotide transport and metabolism,F,COG0518,no
guaB,r-sector,inosine 5'-monophosphate dehydrogenase,,,,CP,,Nucleotide transport and metabolism,F,COG0516,yes
guaC,a-sector,GMP reductase,,,,CP,,Nucleotide transport and metabolism,F,COG0516,no
guaD,a-sector,G7502-MONOMER,,,,CP,,notdefined,FR,COG0402,no
gudD,rca-sector,<i>D</i>-glucarate dehydratase,,,,CP,,notdefined,MR,COG4948,no
gudP,rca-sector,galactarate/glucarate/glycerate transporter GudP,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2271,no
gudX,rca-sector,glucarate dehydratase-related protein,,,,CP,,notdefined,MR,COG4948,no
gutM,a-sector,DNA-binding transcriptional activator GutM,,,,CP,,Transcription,K,COG4578,no
gutQ,s-sector,D-arabinose 5-phosphate isomerase GutQ,,,,CP,,Signal transduction mechanisms,T,COG0517,no
gyrA,ra-sector,DNA gyrase subunit A,,,,CP,,"Replication, recombination and repair",L,COG0188,yes
gyrB,ra-sector,DNA gyrase subunit B,,,,CP,,"Replication, recombination and repair",L,COG0187,no
hcaB,rca-sector,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase",,,,CP,,notdefined,IQR,COG1028,no
hcaC,rca-sector,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit,,,,CP,,notdefined,PQ,COG2146,no
hcaD,rca-sector,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit,,,,CP,,Lipid transport and metabolism,I,COG0446,no
hcaE,rca-sector,putative 3-phenylpropionate/cinnamate dioxygenase subunit &alpha;,,,,CP,,notdefined,PR,COG4638,no
hcaF,rca-sector,putative 3-phenylpropionate/cinnamate dioxygenase subunit &beta;,,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG5517,no
hcaR,s-sector,DNA-binding transcriptional dual regulator HcaR,,,,CP,,Transcription,K,COG0583,no
hcaT,rca-sector,putative 3-phenylpropionate transporter,,,,IM,transporter,notdefined,notdefined,,no
hchA,rca-sector,protein/nucleic acid deglycase 1,,,,CP,,General function prediction only,R,COG0693,yes
hcp,ra-sector,protein <i>S</i>-nitrosylase,,,,CP,,notdefined,PC,COG1151,no
hcr,ra-sector,G6456-MONOMER,,,,CP,,Energy production and conversion,C,COG1018,no
hda,u-sector,inibitor of reinitiation of DNA replication,,,,CP,,"Replication, recombination and repair",L,COG0593,no
hdeA,s-sector,periplasmic acid stress chaperone HdeA,,,,PE,other,notdefined,notdefined,,no
hdeB,s-sector,periplasmic acid stress chaperone HdeB,,,,PE,other,notdefined,notdefined,,no
hdeD,a-sector,acid-resistance membrane protein,,,,IM,membrane protein,Function unknown,S,COG3247,no
hdfR,s-sector,DNA-binding transcriptional dual regulator HdfR,,,,CP,,Transcription,K,COG0583,no
hdhA,rca-sector,7-&alpha;-hydroxysteroid dehydrogenase,,,,CP,,notdefined,IQR,COG1028,no
helD,a-sector,DNA helicase IV,,,,CP,,"Replication, recombination and repair",L,COG0210,no
hemA,ra-sector,glutamyl-tRNA reductase,,,,CP,,Coenzyme transport and metabolism,H,COG0373,no
hemB,a-sector,porphobilinogen synthase,,,,CP,,Coenzyme transport and metabolism,H,COG0113,yes
hemC,s-sector,OHMETHYLBILANESYN-MONOMER,,,,CP,,Coenzyme transport and metabolism,H,COG0181,no
hemD,s-sector,UROGENIIISYN-MONOMER,,,,CP,,Coenzyme transport and metabolism,H,COG1587,no
hemE,a-sector,uroporphyrinogen decarboxylase,,,,CP,,Coenzyme transport and metabolism,H,COG0407,no
hemF,r-sector,coproporphyrinogen III oxidase,,,,CP,,Coenzyme transport and metabolism,H,COG0408,no
hemG,a-sector,protoporphyrinogen oxidase,,,,CP,,Coenzyme transport and metabolism,H,COG4635,no
hemH,r-sector,PROTOHEME-FERROCHELAT-MONOMER,,,,CP,,Coenzyme transport and metabolism,H,COG0276,no
hemL,ra-sector,glutamate-1-semialdehyde aminotransferase,,,,CP,,Coenzyme transport and metabolism,H,COG0001,no
hemN,a-sector,coproporphyrinogen III dehydrogenase,,,,CP,,Coenzyme transport and metabolism,H,COG0635,no
hemX,s-sector,PF04375 family protein HemX,,,,IM,other,Function unknown,S,COG2959,no
hemY,s-sector,protein HemY,,,,IM,other,Function unknown,S,COG3071,no
hflC,a-sector,regulator of FtsH protease,,,,IM,other,"Posttranslational modification, protein turnover, chaperones",O,COG0330,no
hflD,r-sector,lysogenization regulator,,,,CP,,notdefined,XT,COG2915,no
hflK,s-sector,regulator of FtsH protease,,,,IM,other,"Posttranslational modification, protein turnover, chaperones",O,COG0330,no
hflX,s-sector,ribosome rescue factor HflX,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG2262,no
hfq,a-sector,RNA-binding protein Hfq,,,,CP,,Signal transduction mechanisms,T,COG1923,no
hha,a-sector,haemolysin expression modulating protein,,,,CP,,notdefined,notdefined,,no
hicA,s-sector,toxin of the HicA-HicB toxin-antitoxin system,,,,CP,,notdefined,notdefined,,no
hicB,s-sector,antitoxin of the HicA-HicB toxin-antitoxin system,,,,CP,,Defense mechanisms,V,COG1598,no
higA,s-sector,antitoxin/DNA-binding transcriptional repressor HigA,,,,CP,,Defense mechanisms,V,COG5499,no
higB,rca-sector,ribosome-dependent mRNA interferase toxin HigB,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG4680,no
hinT,ra-sector,purine nucleoside phosphoramidase,,,,CP,,notdefined,FGR,COG0537,no
hipA,r-sector,"phosphorylated serine/threonine kinase HipA // ""serine/threonine kinase HipA""",,,,CP,,Signal transduction mechanisms,T,COG3550,no
hipB,u-sector,antitoxin/DNA-binding transcriptional repressor HipB,,,,CP,,Transcription,K,COG1396,no
hisA,a-sector,PRIBFAICARPISOM-MONOMER,,,,CP,,Amino acid transport and metabolism,E,COG0106,no
hisB,a-sector,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,,,,CP,,Amino acid transport and metabolism,E,COG0131,no
hisC,u-sector,histidinol-phosphate aminotransferase,,,,CP,,Amino acid transport and metabolism,E,COG0079,no
hisD,u-sector,histidinal/histidinol dehydrogenase,,,,CP,,Amino acid transport and metabolism,E,COG0141,no
hisF,a-sector,imidazole glycerol phosphate synthase subunit HisF,,,,CP,,Amino acid transport and metabolism,E,COG0107,no
hisG,u-sector,ATP phosphoribosyltransferase,,,,CP,,Amino acid transport and metabolism,E,COG0040,no
hisH,a-sector,imidazole glycerol phosphate synthase subunit HisH,,,,CP,,Amino acid transport and metabolism,E,COG0118,no
hisI,a-sector,putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase,,,,CP,,Amino acid transport and metabolism,E,COG0139,no
hisJ,u-sector,histidine ABC transporter periplasmic binding protein,,,,PE,transporter,notdefined,ET,COG0834,no
hisL,s-sector,<i>his</i> operon leader peptide,,,,CP,,notdefined,notdefined,,no
hisM,s-sector,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM",,,,IM,transporter,Amino acid transport and metabolism,E,COG4160,no
hisP,s-sector,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit",,,,CP,,Amino acid transport and metabolism,E,COG4598,no
hisQ,s-sector,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisQ",,,,IM,transporter,Amino acid transport and metabolism,E,COG4215,no
hisS,s-sector,histidine&mdash;tRNA ligase,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0124,no
hlyE,rca-sector,hemolysin E,,,,CP,,notdefined,notdefined,,yes
hmp,c-sector,nitric oxide dioxygenase,,,,CP,,Energy production and conversion,C,COG1017,no
hns,rca-sector,DNA-binding transcriptional dual regulator H-NS,,,,CP,,Transcription,K,COG2916,no
hofB,rca-sector,T2SSE family protein,,,,CP,,notdefined,NUW,COG2804,no
hofC,rca-sector,inner membrane protein HofC,,,,IM,membrane protein,notdefined,NUW,COG1459,no
hofM,rca-sector,DNA utilization protein HofM,,,,CP,,notdefined,notdefined,,yes
hofN,rca-sector,DNA utilization protein HofN,,,,CP,,notdefined,NW,COG3166,no
hofO,rca-sector,DNA utilization protein HofO,,,,IM,membrane protein,notdefined,notdefined,,no
hofP,rca-sector,DNA utilization protein HofP,,,,CP,,notdefined,notdefined,,no
hofQ,rca-sector,DNA utilization protein HofQ,,,,OM,transporter,"Intracellular trafficking, secretion, and vesicular transport",U,COG4796,no
hokA,rca-sector,small toxic polypeptide,,,,MR,other,notdefined,notdefined,,no
hokB,s-sector,toxin HokB,,,,CP,,notdefined,notdefined,,no
hokC,rca-sector,protein HokC,,,,CP,,notdefined,notdefined,,no
hokD,rca-sector,Qin prophage; toxic protein HokD,,,,CP,,notdefined,notdefined,,no
hokE,s-sector,protein HokE,,,,MR,other,notdefined,notdefined,,no
holA,rca-sector,DNA polymerase III subunit &delta;,,,,CP,,"Replication, recombination and repair",L,COG1466,no
holB,ra-sector,DNA polymerase III subunit &delta;',,,,CP,,"Replication, recombination and repair",L,COG0470,no
holC,ra-sector,DNA polymerase III subunit &chi;,,,,CP,,"Replication, recombination and repair",L,COG2927,no
holD,ra-sector,DNA polymerase III subunit &psi;,,,,CP,,"Replication, recombination and repair",L,COG3050,no
holE,ra-sector,DNA polymerase III subunit &theta;,,,,CP,,notdefined,notdefined,,no
hpf,s-sector,ribosome hibernation-promoting factor,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1544,no
hpt,a-sector,hypoxanthine phosphoribosyltransferase,,,,CP,,Nucleotide transport and metabolism,F,COG0634,yes
hrpA,ra-sector,ATP-dependent RNA helicase HrpA,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1643,no
hrpB,ra-sector,putative ATP-dependent RNA helicase HrpB,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1643,no
hscA,r-sector,iron-sulfur cluster biosynthesis chaperone HscA,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0443,no
hscB,rc-sector,co-chaperone for [Fe-S] cluster biosynthesis,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1076,no
hscC,rca-sector,chaperone protein HscC,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0443,no
hsdM,r-sector,type I restriction enzyme EcoKI methyltransferase component,,,,CP,,Defense mechanisms,V,COG0286,no
hsdR,c-sector,type I restriction enzyme EcoKI endonuclease component,,,,CP,,Function unknown,S,COG2268,no
hsdS,u-sector,type I restriction enzyme EcoKI specificity protein,,,,CP,,Defense mechanisms,V,COG0732,no
hslJ,rca-sector,lipoprotein implicated in Novobiocin resistance,,,,OM,other,"Posttranslational modification, protein turnover, chaperones",O,COG3187,no
hslO,u-sector,molecular chaperone Hsp33,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1281,no
hslR,ra-sector,heat shock protein Hsp15,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1188,no
hslU,a-sector,ATPase component of the HslVU protease,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1220,yes
hslV,a-sector,peptidase component of the HslVU protease,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG5405,no
hspQ,s-sector,"heat shock protein, hemimethylated DNA-binding protein",,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG3785,no
hsrA,u-sector,putative transporter HsrA,,,,IM,transporter,notdefined,GEPR,COG0477,no
htgA,rca-sector,,,,,CP,,notdefined,notdefined,,no
htpG,u-sector,chaperone protein HtpG,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0326,no
htpX,s-sector,zinc dependent endoprotease,,,,IM,other,"Posttranslational modification, protein turnover, chaperones",O,COG0501,no
htrE,rca-sector,putative fimbrial usher protein HtrE,,,,OM,other,notdefined,NW,COG3188,no
htrL,s-sector,protein HtrL,,,,CP,,notdefined,notdefined,,no
hupA,s-sector,DNA-binding protein HU-&alpha;,,,,CP,,"Replication, recombination and repair",L,COG0776,yes
hupB,c-sector,DNA-binding protein HU-&beta;,,,,CP,,"Replication, recombination and repair",L,COG0776,yes
hyaA,ra-sector,hydrogenase 1 small subunit,,,,IM,other,Energy production and conversion,C,COG1740,no
hyaB,rca-sector,hydrogenase 1 large subunit,,,,CP,,Energy production and conversion,C,COG0374,no
hyaC,rca-sector,hydrogenase 1 cytochrome <i>b</i> subunit,,,,IM,other,Energy production and conversion,C,COG1969,no
hyaD,rca-sector,putative hydrogenase 1 maturation protease HyaD,,,,CP,,Energy production and conversion,C,COG0680,no
hyaE,rca-sector,putative HyaA chaperone,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG1999,no
hyaF,rca-sector,protein HyaF,,,,CP,,notdefined,notdefined,,no
hybA,a-sector,hydrogenase 2 iron-sulfur protein,,,,PE,other,Energy production and conversion,C,COG0437,no
hybB,ra-sector,hydrogenase 2 membrane subunit,,,,IM,other,Energy production and conversion,C,COG5557,no
hybC,ra-sector,hydrogenase 2 large subunit,,,,CP,,Energy production and conversion,C,COG0374,no
hybD,ra-sector,putative hydrogenase 2 maturation protease,,,,CP,,Energy production and conversion,C,COG0680,no
hybE,rca-sector,hydrogenase 2-specific chaperone,,,,CP,,notdefined,notdefined,,no
hybF,ra-sector,hydrogenase maturation protein HybF,,,,CP,,General function prediction only,R,COG0375,no
hybG,rca-sector,hydrogenase 2 accessory protein,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0298,no
hybO,a-sector,hydrogenase 2 small subunit,,,,PE,other,Energy production and conversion,C,COG1740,no
hycA,a-sector,regulator of the transcriptional regulator FhlA,,,,CP,,notdefined,notdefined,,no
hycB,s-sector,formate hydrogenlyase subunit HycB,,,,CP,,Energy production and conversion,C,COG1142,no
hycC,ra-sector,formate hydrogenlyase subunit HycC,,,,IM,other,notdefined,CP,COG0651,no
hycD,ra-sector,formate hydrogenlyase subunit HycD,,,,IM,other,Energy production and conversion,C,COG0650,no
hycE,ra-sector,formate hydrogenlyase subunit HycE,,,,CP,,Energy production and conversion,C,COG3261,no
hycF,ra-sector,formate hydrogenlyase subunit HycF,,,,CP,,Energy production and conversion,C,COG1143,no
hycG,rca-sector,formate hydrogenlyase subunit HycG,,,,CP,,Energy production and conversion,C,COG3260,no
hycH,rca-sector,formate hydrogenlyase assembly protein,,,,CP,,notdefined,notdefined,,no
